"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region"
467,51,4517,25,"PLD-7369",-29.15,NA,"Pottery Food Residue","intcal13",2
471,51,3146,22,"PLD-7692",-29.07,NA,"Organic","intcal13",2
475,51,7217,29,"PLD-13026",-26.23,NA,"Charred Remain","intcal13",2
479,14,3890,40,"Beta-162504",-28.8,NA,"Charred Remain","intcal13",2
513,42,4936,38,"IAAA-82238",-26.03,NA,"Wood","intcal13",2
514,60,4678,25,"IAAA-90493",-27.05,NA,"Charcoal","intcal13",2
515,60,4147,23,"IAAA-90494",-29.74,NA,"Charcoal","intcal13",2
542,47,3690,40,"Beta-162474",-27.1,NA,"Charred Remain","intcal13",2
544,47,2860,40,"Beta-162476",-28.4,NA,"Charred Remain","intcal13",2
567,72,4030,40,"IAAA-71851",-27.67,NA,"Wood","intcal13",2
568,72,4030,40,"IAAA-71852",-30.36,NA,"Wood","intcal13",2
570,73,3616,30,"IAAA-81501",-26.16,NA,"Pottery Food Residue","intcal13",2
572,73,3599,28,"IAAA-81503",-27.41,NA,"Pottery Food Residue","intcal13",2
575,73,3611,28,"IAAA-81506",-27.05,NA,"Pottery Food Residue","intcal13",2
583,23,3750,40,"Beta-199663",-26.2,NA,"Charred Remain","intcal13",2
707,142,7155,45,"MTC-05081",-27.1,NA,"Charred Remain","intcal13",1
709,142,7420,40,"Beta-197018",-26.9,NA,"Charred Remain","intcal13",1
734,106,6220,40,"MTC-04906",-27.4,NA,"Charred Remain","intcal13",1
735,158,5810,50,"IAAA-31129",-27.23,0.88,"Pottery Food Residue","intcal13",1
737,158,5600,40,"IAAA-31130",-37.32,0.68,"Pottery Food Residue","intcal13",1
739,159,5090,30,"IAAA-11633",-28.22,0.74,"Charred Remain","intcal13",1
740,159,5120,30,"IAAA-11634",-28.74,0.7,"Charred Remain","intcal13",1
745,162,4550,50,"IAAA-30038",-27.47,1.84,"Pottery Food Residue","intcal13",1
747,163,5285,40,"MTC-05224",-28,NA,"Seed/Nut","intcal13",1
748,163,5355,40,"MTC-05225",-28.5,NA,"Seed/Nut","intcal13",1
749,163,5300,40,"MTC-05226",-31.1,NA,"Seed/Nut","intcal13",1
751,135,4330,40,"Beta-201262",-26.5,NA,"Seed/Nut","intcal13",1
752,135,4110,40,"Beta-201263",-27.4,NA,"Seed/Nut","intcal13",1
753,135,4210,40,"Beta-201264",-28.2,NA,"Seed/Nut","intcal13",1
754,135,4440,40,"Beta-201266",-26.2,NA,"Seed/Nut","intcal13",1
755,135,4380,40,"Beta-201265",-28.2,NA,"Seed/Nut","intcal13",1
757,135,4070,45,"MTC-05836",-28.3,NA,"Seed/Nut","intcal13",1
759,135,4155,45,"MTC-05839",-26.4,NA,"Seed/Nut","intcal13",1
760,135,4475,45,"MTC-05840",-26.5,NA,"Seed/Nut","intcal13",1
761,135,4420,45,"MTC-05841",-29.7,NA,"Seed/Nut","intcal13",1
762,135,4175,40,"MTC-05842",-27.2,NA,"Seed/Nut","intcal13",1
763,135,4475,45,"MTC-05838",-26.2,NA,"Seed/Nut","intcal13",1
764,163,5265,30,"PLD-4136",-29.9,0.12,"Seed/Nut","intcal13",1
765,163,5280,30,"PLD-4137",-26.19,0.12,"Seed/Nut","intcal13",1
766,163,5255,30,"PLD-4138",-27.15,0.12,"Seed/Nut","intcal13",1
767,163,5235,30,"PLD-4139",-26.94,0.17,"Seed/Nut","intcal13",1
768,163,5290,30,"PLD-4140",-26.6,0.15,"Seed/Nut","intcal13",1
769,163,5220,30,"PLD-4141",-26.6,0.18,"Seed/Nut","intcal13",1
770,163,5290,30,"PLD-4142",-28.29,0.13,"Seed/Nut","intcal13",1
772,163,5420,30,"PLD-4144",-26.02,0.12,"Seed/Nut","intcal13",1
773,163,5315,30,"PLD-4145",-29.02,0.17,"Seed/Nut","intcal13",1
779,135,4555,40,"MTC-06387",-27.8,NA,"Wood","intcal13",1
781,163,5275,25,"PLD-5192",-26.2,0.11,"Seed/Nut","intcal13",1
782,163,5275,25,"PLD-5193",-29.39,0.11,"Seed/Nut","intcal13",1
784,163,5360,25,"PLD-5195",-26.1,0.11,"Seed/Nut","intcal13",1
786,163,5275,25,"PLD-5197",-26.99,0.11,"Seed/Nut","intcal13",1
787,163,5285,25,"PLD-5198",-26.28,0.13,"Seed/Nut","intcal13",1
788,163,5260,25,"PLD-5199",-28.16,0.14,"Seed/Nut","intcal13",1
789,163,5280,25,"PLD-5200",-26.25,0.11,"Seed/Nut","intcal13",1
793,135,4050,30,"MTC-06732",-29.8,NA,"Wood","intcal13",1
796,132,5160,60,"PLD-5972",-47.15,1.85,"Charred Remain","intcal13",1
797,132,5245,30,"PLD-5973",-27.97,0.13,"Charred Remain","intcal13",1
799,164,5315,25,"PLD-10718",-26.18,0.13,"Pottery Food Residue","intcal13",1
801,164,5760,25,"PLD-10720",-26.98,0.14,"Pottery Food Residue","intcal13",1
804,164,5440,25,"PLD-10723",-26.05,0.26,"Pottery Food Residue","intcal13",1
805,164,5450,25,"PLD-10724",-26.7,0.17,"Pottery Food Residue","intcal13",1
807,164,5325,25,"PLD-10726",-26.91,0.16,"Pottery Food Residue","intcal13",1
808,164,5740,25,"PLD-10727",-27,0.19,"Pottery Food Residue","intcal13",1
809,164,5930,25,"PLD-10728",-28.93,0.15,"Pottery Food Residue","intcal13",1
810,164,5715,25,"PLD-10729",-26.7,0.13,"Pottery Food Residue","intcal13",1
811,164,5390,25,"PLD-10730",-28.79,0.29,"Pottery Food Residue","intcal13",1
814,164,5710,25,"PLD-10732",-26.67,0.2,"Pottery Food Residue","intcal13",1
816,164,5425,25,"PLD-10734",-26.77,0.2,"Pottery Food Residue","intcal13",1
817,93,4425,40,"MTC-04359",-27.9,NA,"Seed/Nut","intcal13",1
819,95,4400,40,"Beta-164146",-26.4,NA,"Pottery Food Residue","intcal13",1
821,96,4505,35,"MTC-04313",-26.3,NA,"Pottery Food Residue","intcal13",1
822,97,4410,40,"Beta-164148",-27.1,NA,"Pottery Food Residue","intcal13",1
823,97,4370,40,"Beta-164147",-26.5,NA,"Pottery Food Residue","intcal13",1
829,100,4280,40,"Beta-191842",-26.5,NA,"Pottery Food Residue","intcal13",1
830,100,4330,45,"MTC-04584",-26.2,NA,"Charred Remain","intcal13",1
832,101,4460,40,"IAAA-30037",-26.26,1.18,"Pottery Food Residue","intcal13",1
834,101,4370,40,"IAAA-30035",-29.5,1.06,"Pottery Food Residue","intcal13",1
835,101,4390,40,"IAAA-30036",-28.53,1.29,"Pottery Food Residue","intcal13",1
836,101,4490,40,"Beta-189940",-26.5,NA,"Pottery Food Residue","intcal13",1
839,104,4170,40,"Beta-154807",-26.6,NA,"Charred Remain","intcal13",1
840,104,4420,40,"Beta-154808",-26.8,NA,"Seed/Nut","intcal13",1
841,105,4410,40,"Beta-154804",-26.2,NA,"Charred Remain","intcal13",1
842,105,4180,40,"Beta-154806",-26.1,NA,"Lacquer","intcal13",1
843,105,4220,40,"Beta-154803",-28,NA,"Charred Remain","intcal13",1
845,105,4160,40,"Beta-154802",-26.5,NA,"Charred Remain","intcal13",1
846,105,4350,40,"Beta-154800",-28.9,NA,"Charred Remain","intcal13",1
849,105,4430,40,"Beta-154798",-28.4,NA,"Seed/Nut","intcal13",1
851,106,4460,40,"Beta-157911",-26.2,NA,"Charred Remain","intcal13",1
852,106,4510,45,"MTC-04902",-27.4,NA,"Charred Remain","intcal13",1
855,106,4170,40,"Beta-158197",-26.1,NA,"Pottery Food Residue","intcal13",1
859,106,4430,40,"Beta-157916",-27.3,NA,"Charred Remain","intcal13",1
