"","SiteID","C14ID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region","Ref","SiteName","Latitude","Longitude","Prefecture"
"75",5,66,4720,25,"PLD-4851",-26.34,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"76",5,369,4570,50,"Beta-112349",-31.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"77",5,370,4600,50,"Beta-112350",-28.2,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"78",5,305,4005,40,"Tka-14424",-31.7,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008","Sannaimaruyama",40.8111,140.706,"Aomori"
"79",5,375,4640,50,"Beta-112348",-26.5,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"80",5,331,5050,60,"Beta-87143",-27.8,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"81",5,385,4560,50,"Beta-112346",-26.5,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"82",5,24,4555,40,"MTC-04301",-27.1,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"83",5,343,4980,40,"Beta-119437",-27.2,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"84",5,23,4570,40,"Beta-189559",-26.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"85",5,332,4960,60,"Beta-87144",-31.6,NA,"Organic","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"86",5,342,4970,119,"NUTA-5448",-26.8,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"87",5,367,4650,50,"Beta-111795",-32.5,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"88",6,314,4660,50,"Beta-174576",-26.6,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"89",6,283,4320,35,"Tka-14480",-29,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008","Chikano",40.805,140.705,"Aomori"
"90",6,315,4102,41,"IAAA-52426",-28.3,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"91",6,390,4500,40,"Beta-194380",-26.8,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Chikano",40.805,140.705,"Aomori"
"92",6,303,3995,30,"Tka-14501",-26.8,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008","Chikano",40.805,140.705,"Aomori"
"93",6,408,4440,40,"Beta-194377",-26.7,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Chikano",40.805,140.705,"Aomori"
"94",6,310,4602,36,"IAAA-50510",-29.6,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"95",6,312,4350,50,"Beta-174574",-27.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"96",6,362,4980,40,"IAAA-60564",-26.1,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Chikano",40.805,140.705,"Aomori"
"97",6,389,4460,40,"Beta-194378",-26.3,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Chikano",40.805,140.705,"Aomori"
"98",6,311,4430,50,"Beta-174582",-26.1,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"99",6,281,4315,40,"Tka-14478",-27,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008","Chikano",40.805,140.705,"Aomori"
"100",6,301,4110,35,"Tka-14499",-28.5,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008","Chikano",40.805,140.705,"Aomori"
"101",6,320,4440,40,"Beta-194377",-26.7,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"102",6,416,4450,40,"IAAA-60561",-31.1,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Chikano",40.805,140.705,"Aomori"
"103",6,302,4025,35,"Tka-14500",-26.8,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008","Chikano",40.805,140.705,"Aomori"
"104",6,409,4510,40,"Beta-194379",-26.5,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Chikano",40.805,140.705,"Aomori"
"105",6,321,4500,40,"Beta-194380",-26.8,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"106",6,313,4400,40,"Beta-174575",-27.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 2","Chikano",40.805,140.705,"Aomori"
"107",8,141,4070,25,"PLD-4168",-31.46,0.27,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Shinden",40.4795,141.492,"Aomori"
"108",8,140,4135,25,"PLD-4167",-27.76,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Shinden",40.4795,141.492,"Aomori"
"109",8,142,4150,25,"PLD-4169",-26.15,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Shinden",40.4795,141.492,"Aomori"
"110",8,137,4075,30,"PLD-4165",-26.11,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Shinden",40.4795,141.492,"Aomori"
"111",8,134,3785,25,"PLD-4161",-26.1,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Shinden",40.4795,141.492,"Aomori"
"112",9,198,4095,25,"PLD-4177",-28.25,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"113",9,197,4015,25,"PLD-4176",-26.37,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"114",9,200,4000,25,"PLD-4179",-26.32,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
